Axis,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,565,565.0,565.0,565.0,565.0,564.0,564.0,565.0,564.0,564.0,565,564,565,564.0,564.0,565.0,561,565.0,246.0,564.0,565.0,565,565,565,572,566,566,565,567,566,566
1.0,565.0,565.0,565.0,565.0,565.0,565,565.0,564.0,565,565.0,565.0,565.0,565.0,564.0,565.0,565.0,564.0,564.0,565,564,565,564.0,564.0,565.0,561,565.0,246.0,564.0,565.0,565,565,565,572,566,566,566,566,566,566
2.0,565.0,565.0,565.0,565.0,565.0,565,565.0,564.0,565,565.0,565.0,565.0,565.0,564.0,565.0,565.0,564.0,565.0,565,564,565,564.0,564.0,565.0,561,565.0,246.0,564.0,565.0,565,565,566,573,566,566,566,566,566,567
3.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,565,565.0,565.0,565.0,565.0,564.0,565.0,565.0,565.0,565.0,566,565,565,564.0,564.0,565.0,561,562.0,243.0,565.0,565.0,565,565,566,573,566,566,566,566,566,567
4.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,565,565.0,565.0,565.0,565.0,564.0,565.0,565.0,565.0,564.0,565,565,565,565.0,564.0,565.0,561,565.0,561.0,565.0,565.0,565,565,567,564,567,566,566,566,566,566
5.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,565,565.0,565.0,565.0,565.0,564.0,565.0,565.0,565.0,564.0,568,565,565,565.0,564.0,565.0,561,565.0,561.0,565.0,565.0,565,565,567,564,567,567,566,566,567,566
6.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,565,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,564.0,568,565,565,565.0,565.0,565.0,561,565.0,247.0,565.0,565.0,565,565,567,564,567,567,567,566,567,566
7.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,568,565.0,565.0,565.0,565.0,565.0,565.0,565.0,565.0,568.0,568,565,565,565.0,565.0,565.0,565,565.0,246.0,565.0,565.0,565,565,567,565,567,567,567,567,567,566
8.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,568,565.0,568.0,565.0,565.0,565.0,565.0,565.0,565.0,568.0,568,565,565,565.0,565.0,565.0,565,565.0,246.0,565.0,565.0,565,565,567,565,573,567,569,567,566,566
9.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,568,565.0,568.0,565.0,565.0,565.0,565.0,565.0,565.0,568.0,568,565,565,565.0,565.0,565.0,565,564.0,246.0,565.0,565.0,565,565,567,565,570,567,570,567,566,566
10.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,568,568.0,568.0,568.0,565.0,565.0,565.0,568.0,565.0,568.0,568,565,565,565.0,565.0,564.0,565,564.0,564.0,565.0,565.0,565,565,570,565,570,570,570,570,570,566
11.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,568,568.0,568.0,568.0,565.0,565.0,565.0,568.0,565.0,568.0,568,565,565,565.0,565.0,564.0,565,564.0,564.0,565.0,565.0,565,565,570,565,566,570,570,570,570,566
12.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,568,568.0,568.0,568.0,565.0,565.0,565.0,568.0,565.0,565.0,569,565,565,565.0,565.0,564.0,565,564.0,564.0,565.0,565.0,566,565,565,565,566,570,570,571,570,567
13.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,568,568.0,568.0,568.0,565.0,565.0,565.0,568.0,565.0,565.0,568,565,565,565.0,565.0,564.0,565,564.0,564.0,565.0,565.0,568,568,566,566,566,570,570,571,571,567
14.0,565.0,565.0,565.0,565.0,565.0,565,565.0,565.0,568,568.0,568.0,568.0,568.0,565.0,565.0,568.0,565.0,565.0,568,565,565,565.0,565.0,564.0,564,564.0,564.0,565.0,565.0,568,568,566,566,566,570,570,571,571,567
15.0,565.0,565.0,565.0,565.0,565.0,565,568.0,568.0,568,568.0,568.0,568.0,568.0,565.0,565.0,568.0,565.0,565.0,565,565,565,565.0,565.0,564.0,564,564.0,564.0,565.0,565.0,568,568,567,566,566,570,570,571,571,567
16.0,568.0,568.0,568.0,568.0,568.0,568,568.0,568.0,568,568.0,568.0,571.0,568.0,565.0,565.0,568.0,565.0,565.0,565,565,565,565.0,565.0,565.0,564,564.0,564.0,565.0,565.0,568,568,571,566,567,570,571,571,571,567
17.0,568.0,568.0,568.0,568.0,568.0,568,568.0,568.0,568,568.0,568.0,571.0,568.0,565.0,565.0,568.0,565.0,565.0,565,565,565,565.0,565.0,565.0,564,565.0,565.0,565.0,565.0,568,568,571,566,567,571,571,571,571,571
18.0,568.0,568.0,568.0,568.0,568.0,568,568.0,568.0,568,568.0,568.0,571.0,568.0,565.0,565.0,568.0,565.0,565.0,565,565,568,565.0,565.0,565.0,564,565.0,565.0,565.0,565.0,568,568,571,571,571,571,571,570,571,571
19.0,568.0,568.0,568.0,568.0,568.0,568,568.0,568.0,568,568.0,568.0,571.0,568.0,565.0,565.0,568.0,565.0,565.0,566,565,568,566.0,568.0,565.0,564,565.0,565.0,565.0,568.0,568,568,571,571,571,571,571,570,571,571
20.0,568.0,568.0,568.0,568.0,568.0,568,568.0,568.0,568,568.0,568.0,569.0,568.0,565.0,565.0,568.0,565.0,571.0,568,565,568,568.0,568.0,565.0,564,565.0,565.0,565.0,568.0,568,568,571,567,571,571,571,570,571,571
21.0,568.0,568.0,568.0,568.0,568.0,568,568.0,568.0,568,568.0,571.0,568.0,568.0,565.0,565.0,568.0,568.0,571.0,568,565,568,569.0,568.0,565.0,565,565.0,565.0,565.0,568.0,568,569,566,567,571,571,571,570,569,571
22.0,568.0,568.0,568.0,568.0,568.0,568,568.0,568.0,568,571.0,572.0,568.0,568.0,565.0,568.0,571.0,568.0,568.0,568,565,568,568.0,568.0,565.0,565,565.0,568.0,565.0,568.0,568,571,567,567,572,572,571,570,570,571
23.0,568.0,568.0,568.0,568.0,568.0,568,568.0,571.0,571,572.0,571.0,569.0,568.0,565.0,568.0,571.0,568.0,568.0,568,565,568,568.0,568.0,565.0,565,565.0,568.0,565.0,568.0,568,571,567,570,572,572,572,572,570,571
24.0,568.0,568.0,568.0,568.0,568.0,568,568.0,571.0,571,571.0,571.0,572.0,571.0,571.0,568.0,571.0,568.0,568.0,568,568,568,568.0,568.0,565.0,565,565.0,568.0,565.0,568.0,568,571,569,570,572,572,572,572,571,571
25.0,568.0,568.0,568.0,568.0,568.0,568,568.0,571.0,571,571.0,571.0,571.0,571.0,572.0,568.0,571.0,565.0,568.0,568,568,568,568.0,568.0,565.0,565,565.0,568.0,565.0,568.0,568,571,570,570,573,572,572,572,572,572
26.0,568.0,568.0,568.0,568.0,568.0,568,568.0,572.0,571,571.0,572.0,571.0,572.0,571.0,568.0,571.0,565.0,568.0,569,568,568,568.0,568.0,565.0,565,568.0,568.0,568.0,568.0,568,571,570,570,573,572,572,573,572,572
27.0,568.0,568.0,568.0,568.0,568.0,568,571.0,572.0,571,572.0,571.0,571.0,571.0,571.0,568.0,571.0,565.0,568.0,571,568,568,568.0,568.0,568.0,565,568.0,568.0,568.0,568.0,571,571,570,570,573,572,573,573,573,572
28.0,571.0,571.0,571.0,571.0,571.0,571,571.0,571.0,571,572.0,571.0,571.0,571.0,571.0,568.0,571.0,565.0,568.0,571,568,568,568.0,568.0,568.0,565,568.0,568.0,568.0,568.0,571,571,570,570,572,572,573,573,573,572
29.0,571.0,571.0,571.0,571.0,571.0,571,571.0,571.0,571,572.0,571.0,571.0,571.0,571.0,568.0,571.0,565.0,569.0,571,568,569,568.0,568.0,568.0,565,568.0,568.0,568.0,568.0,571,572,570,570,572,573,573,573,573,573
30.0,571.0,571.0,571.0,571.0,571.0,571,571.0,572.0,571,574.0,571.0,571.0,571.0,571.0,568.0,572.0,565.0,571.0,571,568,571,571.0,568.0,568.0,568,568.0,568.0,568.0,568.0,571,571,570,570,572,573,573,573,573,573
31.0,571.0,571.0,571.0,571.0,571.0,571,571.0,572.0,571,574.0,571.0,571.0,571.0,571.0,568.0,571.0,565.0,571.0,571,568,571,571.0,568.0,568.0,568,568.0,571.0,568.0,571.0,571,571,570,571,573,573,573,574,573,573
32.0,571.0,571.0,571.0,571.0,571.0,571,572.0,572.0,571,574.0,571.0,574.0,571.0,571.0,568.0,571.0,565.0,572.0,571,568,571,571.0,568.0,568.0,568,568.0,568.0,568.0,571.0,571,572,571,571,573,573,573,574,573,573
33.0,571.0,571.0,571.0,571.0,571.0,571,572.0,574.0,571,575.0,574.0,574.0,571.0,571.0,571.0,571.0,571.0,572.0,571,568,571,571.0,568.0,568.0,568,568.0,568.0,568.0,571.0,571,572,573,571,573,573,574,574,574,574
34.0,571.0,571.0,571.0,571.0,571.0,571,572.0,575.0,571,574.0,574.0,575.0,571.0,571.0,571.0,571.0,571.0,571.0,571,571,571,571.0,568.0,568.0,568,568.0,568.0,568.0,571.0,572,572,574,571,573,573,574,575,574,574
35.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,571,574.0,575.0,574.0,571.0,574.0,571.0,571.0,571.0,571.0,571,571,571,571.0,568.0,568.0,568,571.0,568.0,569.0,571.0,572,572,574,572,574,574,574,576,574,574
36.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,572,574.0,575.0,572.0,571.0,574.0,571.0,571.0,571.0,571.0,571,572,571,571.0,571.0,569.0,569,571.0,568.0,571.0,571.0,572,574,574,574,574,574,574,576,575,575
37.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,571.0,574.0,571.0,571.0,571.0,571.0,571,571,571,571.0,571.0,568.0,568,571.0,568.0,571.0,571.0,574,574,573,574,574,575,574,576,575,575
38.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,571.0,574.0,571.0,571.0,571.0,571.0,571,572,572,571.0,571.0,571.0,571,571.0,568.0,571.0,572.0,574,574,573,573,574,575,574,576,575,575
39.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,571.0,574.0,571.0,571.0,571.0,571.0,571,571,572,571.0,571.0,571.0,571,571.0,568.0,571.0,572.0,574,574,574,573,574,575,574,576,575,575
40.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,571.0,574.0,571.0,571.0,568.0,571.0,571,571,571,571.0,571.0,571.0,571,571.0,568.0,571.0,572.0,574,574,574,573,575,575,575,576,575,575
41.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,572.0,574.0,571.0,572.0,568.0,571.0,572,571,572,571.0,571.0,571.0,571,572.0,569.0,571.0,572.0,574,575,575,573,575,576,575,576,575,575
42.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,574.0,574.0,571.0,574.0,568.0,571.0,572,571,574,572.0,571.0,571.0,571,572.0,569.0,572.0,574.0,574,575,575,573,576,576,576,576,576,576
43.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,575.0,575.0,571.0,575.0,571.0,571.0,571,571,574,572.0,571.0,571.0,571,574.0,554.0,572.0,574.0,575,575,576,573,576,576,576,576,575,576
